301,0.0122392027,994.2112410164,43.2,87.1,7.8,25.94,1,0,3000
311,0.0145273312,998.8800626897,25.9,86.6,3.4,26.38,1,0,3000
274,0.0145328467,1003.474925954,57.2,86.7,3.1,26.38,1,0,3000
300,0.0143166667,1008.240299987,43.1,86.2,4.1,26.38,1,0,3000
283,0.0146925795,1012.8386586496,43.7,86.6,4.0,26.38,1,0,3000
317,0.014488959,1017.4743319633,35.4,86.0,2.5,26.38,1,0,3000
292,0.0137465753,1022.1374127636,40.2,86.8,3.7,26.38,1,0,3000
317,0.0157223975,1048.490557803,0.0,87.0,0.0,26.27,3,0,3000
318,0.0153301887,1053.1619212163,34.9,86.7,2.8,26.32,3,0,3000
320,0.013634375,1057.6807592481,39.0,87.0,8.1,26.32,3,0,3000
314,0.0158726115,1062.4119091657,32.2,86.6,0.6,26.34,3,0,3000
317,0.014637224,1067.0594620329,46.9,86.8,6.2,26.34,3,0,3000
317,0.0147350158,1071.8258619775,41.0,86.6,3.4,25.98,3,0,3000
318,0.0157232704,1076.5679459122,24.8,86.6,0.3,25.98,3,0,3000
320,0.0149875,1081.3128743775,36.8,86.4,4.4,26.36,3,0,3000
312,0.0142179487,1086.0194097925,40.0,86.7,10.3,25.98,3,0,3000
320,0.0141625,1090.7503147244,39.9,85.9,5.0,26.36,3,0,3000
269,0.015802974,1095.1202237367,30.6,86.6,0.3,26.34,3,0,3000
383,2.4310313316,919.5395156304,0.0,90.7,0.0,84.55,1,0,3000
383,7.3951775457,924.2068132968,70.9,91.6,89.4,155.45,1,0,3000
361,12.2767396122,928.6679660032,59.7,91.8,91.6,236.99,1,0,3000
390,17.1953153846,933.1267537313,65.5,92.2,88.2,315.69,1,0,3000
329,22.3324072948,936.1760172395,58.0,92.9,88.8,406.91,1,0,3000
360,27.2114972222,939.0524471203,69.0,93.3,77.6,472.98,1,0,3000
345,32.0507855073,943.156139427,53.2,94.4,89.2,561.73,1,0,3000
642,36.8863753894,947.4837423062,28.1,94.2,4.0,564.47,1,0,3000
642,41.6766246106,951.4546191091,20.8,94.3,0.0,564.48,1,0,3000
642,46.4686448598,955.6912502329,35.2,94.0,0.0,564.48,1,0,3000
640,51.2732875,959.7315966342,23.4,93.9,0.6,564.48,1,0,3000
352,2.8329630682,135.0824677023,0.0,89.4,0.0,68.44,2,0,3000
356,7.1696994382,138.5487915525,68.6,90.0,88.8,146.14,2,0,3000
320,12.133615625,142.841551514,43.5,91.5,98.1,251.23,2,0,3000
517,16.8849245648,147.4484716605,33.5,91.8,39.4,288.86,2,0,3000
644,21.1840341614,151.2941881663,14.3,91.7,0.3,288.87,2,0,3000
642,25.9710202493,155.5506760866,18.7,91.5,0.6,288.91,2,0,3000
642,30.638982866,159.1994282969,28.3,91.6,0.6,288.91,2,0,3000
642,35.4371588785,162.4377950356,20.4,91.1,0.9,288.91,2,0,3000
644,40.2204332298,165.4294046819,25.3,91.5,0.3,288.91,2,0,3000
641,45.0322792512,168.5177625334,16.5,91.2,0.0,288.91,2,0,3000
643,49.8402534992,172.1008116721,13.2,91.6,0.3,288.91,2,0,3000
407,2.4895749386,436.2976085724,0.0,87.7,0.0,91.59,3,0,3000
376,7.5908537234,440.8375349292,81.3,88.9,80.2,149.52,3,0,3000
346,12.1778930636,444.8287818942,84.0,91.7,78.5,204.27,3,0,3000
405,17.3274765432,449.7492048958,81.4,90.9,90.2,277.14,3,0,3000
370,22.4233675676,454.648899041,56.2,91.0,97.2,363.69,3,0,3000
330,27.2621909091,459.1443127979,51.9,92.3,97.2,463.84,3,0,3000
315,32.2230698412,463.7959205484,57.2,93.5,93.8,554.08,3,0,3000
330,37.2484151516,468.5935066592,52.2,94.1,96.3,647.19,3,0,3000
388,42.2558994846,473.3958599254,64.3,93.0,93.5,744.79,3,0,3000
297,47.6564074075,478.583124119,50.7,94.1,95.6,841.32,3,0,3000
335,51.8372059702,482.556628176,61.0,94.1,97.2,919.37,3,0,3000
372,2.5268951613,787.766917753,0.0,85.0,0.0,76.66,4,0,3000
369,7.3055094851,791.9496298289,96.0,86.3,72.8,118.94,4,0,3000
360,12.1273694444,795.9101185342,75.0,87.2,83.7,189.02,4,0,3000
352,16.9042613636,800.2857908918,61.9,87.6,90.4,271.37,4,0,3000
369,21.7418943089,804.9674200437,65.2,85.6,83.4,342.29,4,0,3000
384,26.8133541667,809.9083990802,77.2,86.8,79.6,409.38,4,0,3000
346,32.1535057804,815.0801254607,82.0,87.6,75.4,460.26,4,0,3000
359,36.8513175487,819.5036932506,82.1,88.6,82.2,524.56,4,0,3000
409,42.0065085575,824.3417299044,68.1,89.7,89.4,606.87,4,0,3000
353,47.4078016997,829.4551984136,68.3,91.0,86.2,674.31,4,0,3000
408,52.0008186275,833.8391959696,80.5,91.8,83.3,740.72,4,0,3000
326,57.3917423313,839.0283163384,63.4,92.6,92.2,814.52,4,0,1300
438,61.8734634703,843.2322846967,67.8,93.7,87.3,896.02,4,0,1300
231,67.4629264069,848.6427281316,82.5,95.0,76.2,931.23,4,0,1300
269,72.2147657992,853.2210916524,99.8,95.0,45.2,945.37,4,0,1300
335,76.9750298507,857.7642497575,95.1,96.1,59.7,980.38,4,0,1300
404,81.838240099,862.3970801942,70.4,94.9,90.7,1063.61,4,0,1300
296,86.9546114864,867.2921255561,53.0,95.5,97.5,1130.12,4,0,1300
410,91.6973146342,871.7682745364,64.3,95.8,90.2,1220.28,4,0,1300
417,96.8167434053,876.5239439234,67.6,96.2,91.0,1286.85,4,0,1300
222,102.3553468469,881.884164299,71.7,96.4,86.3,1333.67,4,0,1300
245,106.3375714285,885.6192702683,86.8,97.1,51.9,1316.19,4,0,1300
164,111.9161341464,890.9289142795,99.7,97.3,34.3,1308.39,4,0,1300
166,116.9414277109,895.783609419,99.4,97.0,27.0,1286.25,4,0,1500
188,121.988,900.6872712107,91.0,96.4,38.6,1276.06,4,0,1500
212,127.6562169811,906.2480502668,88.1,95.1,47.0,1305.49,4,0,1500
311,131.6317781351,909.9576870705,84.0,94.1,54.9,1360.62,4,0,1500
247,140.8048340081,918.8408859732,94.7,94.8,40.7,1389.81,4,0,1500
230,145.7181,923.5599761745,88.5,95.1,46.8,1427.68,4,0,1500
144,150.9403333334,928.6580218623,99.8,95.6,25.3,1435.63,4,0,1500
